category,is_page_list,url
cloture_panneau_grillage_brise_vue,False,https://www.castorama.fr/jardin-et-terrasse/cloture-panneau-grillage-brise-vue/cat_id_2424.cat
abri_de_jardin_garage_carport_et_rangement_exterieur,False,https://www.castorama.fr/jardin-et-terrasse/abri-de-jardin-garage-carport-et-rangement/cat_id_2.cat
outil_motorise_de_jardin,False,https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/cat_id_1456.cat
terrasse_et_sol_exterieur,False,https://www.castorama.fr/jardin-et-terrasse/terrasse-et-sol-exterieur/cat_id_3267.cat
jardinage,False,https://www.castorama.fr/jardinage/cat_id_0004335.cat
portail_portillon_porte_de_garage_et_motorisation,False,https://www.castorama.fr/jardin-et-terrasse/portail-portillon-porte-de-garage-et-motorisation/cat_id_3404.cat
parasol_tonnelle_store_de_terrasse_et_voile_d_ombrage,False,https://www.castorama.fr/jardin-et-terrasse/parasol-tonnelle-store-de-terrasse-et-voile-d-ombrage/cat_id_1950.cat
salon_et_mobilier_de_jardin,False,https://www.castorama.fr/jardin-et-terrasse/salon-de-jardin-table-chaise-et-fauteuil-de-jardin/cat_id_1519.cat
piscine_et_spa,False,https://www.castorama.fr/jardin-et-terrasse/piscine-et-spa/cat_id_2181.cat
jeux_et_jouets,False,https://www.castorama.fr/jardin-et-terrasse/balancoire-trampoline-et-toboggan/cat_id_1277.cat
barbecue,False,https://www.castorama.fr/barbecue/cat_id_0003436.cat
plancha,False,https://www.castorama.fr/plancha/cat_id_0003437.cat
cuisine_d_exterieur,False,https://www.castorama.fr/cuisine-dexterieur/cat_id_0002246.cat
luminaire_et_eclairage_exterieur,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/cat_id_1112.cat
peinture_exterieure,False,https://www.castorama.fr/peinture/peinture-exterieure/cat_id_2865.cat
arche_treillage_et_decoration_du_jardin,False,https://www.castorama.fr/jardin-et-terrasse/fontaine-statue-et-decoration-du-jardin/cat_id_1290.cat
animalerie,False,https://www.castorama.fr/jardin-et-terrasse/abri-de-jardin-garage-carport-et-rangement/niche-poulailler-abri-et-nourriture-pour-animaux/cat_id_23.cat
noel,False,https://www.castorama.fr/jardin-et-terrasse/noel/cat_id_0001879.cat
tout_pour_deneiger,False,https://www.castorama.fr/jardin-et-terrasse/tout-pour-deneiger/cat_id_0005916.cat
chauffe_eau,False,https://www.castorama.fr/plomberie/chauffe-eau/cat_id_2351.cat
adoucisseur_d_eau_et_filtre_anti_calcaire,False,https://www.castorama.fr/plomberie/adoucisseur-d-eau-et-filtre-anti-calcaire/cat_id_2268.cat
alimentation_en_eau,False,https://www.castorama.fr/plomberie/alimentation-en-eau/cat_id_2274.cat
evacuation_des_eaux,False,https://www.castorama.fr/plomberie/evacuation-des-eaux/cat_id_2361.cat
